BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
nan,E WATER ST / 10TH ST NE,drop,Virginia,Charlottesville,E WATER ST / 10TH ST NE,"E WATER ST / 10TH ST NE, CHARLOTTESVILLE, VA"
100.0,"CHANCELLOR ST, 2",keep,Virginia,Charlottesville,100 CHANCELLOR ST,"100 CHANCELLOR ST, CHARLOTTESVILLE, VA"
nan,12TH ST NW / WERTLAND ST,drop,Virginia,Charlottesville,12TH ST NW / WERTLAND ST,"12TH ST NW / WERTLAND ST, CHARLOTTESVILLE, VA"
nan,MONTICELLO AVE / CASTALIA ST,drop,Virginia,Charlottesville,MONTICELLO AVE / CASTALIA ST,"MONTICELLO AVE / CASTALIA ST, CHARLOTTESVILLE, VA"
600.0,"DRUID AVE, B",keep,Virginia,Charlottesville,600 DRUID AVE,"600 DRUID AVE, CHARLOTTESVILLE, VA"
100.0,WHITTEN CT,keep,Virginia,Charlottesville,100 WHITTEN CT,"100 WHITTEN CT, CHARLOTTESVILLE, VA"
1200.0,"WERTLAND ST, A",keep,Virginia,Charlottesville,1200 WERTLAND ST,"1200 WERTLAND ST, CHARLOTTESVILLE, VA"
1800.0,"JEFFERSON PARK AVE, 87",keep,Virginia,Charlottesville,1800 JEFFERSON PARK AVE,"1800 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
1000.0,LOCUST LN,keep,Virginia,Charlottesville,1000 LOCUST LN,"1000 LOCUST LN, CHARLOTTESVILLE, VA"
1000.0,"ROUGEMONT AVE, B",keep,Virginia,Charlottesville,1000 ROUGEMONT AVE,"1000 ROUGEMONT AVE, CHARLOTTESVILLE, VA"
400.0,COMMERCE ST,keep,Virginia,Charlottesville,400 COMMERCE ST,"400 COMMERCE ST, CHARLOTTESVILLE, VA"
1000.0,TUFTON AVE,keep,Virginia,Charlottesville,1000 TUFTON AVE,"1000 TUFTON AVE, CHARLOTTESVILLE, VA"
800.0,"ESTES ST, 705",keep,Virginia,Charlottesville,800 ESTES ST,"800 ESTES ST, CHARLOTTESVILLE, VA"
800.0,"W MAIN ST, 24",keep,Virginia,Charlottesville,800 W MAIN ST,"800 W MAIN ST, CHARLOTTESVILLE, VA"
400.0,"11TH ST NE, 21",keep,Virginia,Charlottesville,400 11TH ST NE,"400 11TH ST NE, CHARLOTTESVILLE, VA"
nan,LONG ST @ PARK ST,intersection,Virginia,Charlottesville,LONG ST @ PARK ST,"LONG ST @ PARK ST, CHARLOTTESVILLE, VA"
1100.0,"E MARKET ST, 16E",keep,Virginia,Charlottesville,1100 E MARKET ST,"1100 E MARKET ST, CHARLOTTESVILLE, VA"
nan,ELLIOTT AVE @ BURNET ST,intersection,Virginia,Charlottesville,ELLIOTT AVE @ BURNET ST,"ELLIOTT AVE @ BURNET ST, CHARLOTTESVILLE, VA"
1000.0,"RAYON ST, B",keep,Virginia,Charlottesville,1000 RAYON ST,"1000 RAYON ST, CHARLOTTESVILLE, VA"
1000.0,"W MAIN ST, 623",keep,Virginia,Charlottesville,1000 W MAIN ST,"1000 W MAIN ST, CHARLOTTESVILLE, VA"
1200.0,"CARLTON AVE, 2",keep,Virginia,Charlottesville,1200 CARLTON AVE,"1200 CARLTON AVE, CHARLOTTESVILLE, VA"
