,address,match_address
137,"200 Carlton Rd, Charlottesville, Virginia, 22902","200 CARLTON RD, CHARLOTTESVILLE, VA"
138,"200 Ridge St, Charlottesville, Virginia, 22902","200 RIDGE ST, CHARLOTTESVILLE, VA"
140,"100 Piedmont Ave S, Charlottesville, Virginia, 22903","100 PIEDMONT AVE S, CHARLOTTESVILLE, VA"
141,"800 Saint Clair Ave, Charlottesville, Virginia, 22902","800 SAINT CLAIR AVE, CHARLOTTESVILLE, VA"
142,"300 2nd St SE, Charlottesville, Virginia, 22902","300 2ND ST SE, CHARLOTTESVILLE, VA"
143,"300 Carlton Rd, Charlottesville, Virginia, 22902","300 CARLTON RD, CHARLOTTESVILLE, VA"
145,"1500 Westwood Rd, Charlottesville, Virginia, 22903","1500 WESTWOOD RD, CHARLOTTESVILLE, VA"
146,"1600 Ricky Rd, Charlottesville, Virginia, 22901","1600 RICKY RD, CHARLOTTESVILLE, VA"
147,"400 4th St NW, Charlottesville, Virginia, 22903","400 4TH ST NW, CHARLOTTESVILLE, VA"
148,"Stadium Rd, Charlottesville, Virginia, 22904","STADIUM RD, CHARLOTTESVILLE, VA"
149,"1100 E Jefferson St, Charlottesville, Virginia, 22902","1100 E JEFFERSON ST, CHARLOTTESVILLE, VA"
151,"E High St & Long St, Charlottesville, Virginia, 22901","E HIGH ST & LONG ST, CHARLOTTESVILLE, VA"
152,"500 Cherry Ave, Charlottesville, Virginia, 22903","500 CHERRY AVE, CHARLOTTESVILLE, VA"
153,"500 1st St N, Charlottesville, Virginia, 22902","500 1ST ST N, CHARLOTTESVILLE, VA"
154,"2300 Center Ave, Charlottesville, Virginia, 22903","2300 CENTER AVE, CHARLOTTESVILLE, VA"
155,"100 Carlton Rd, Charlottesville, Virginia, 22902","100 CARLTON RD, CHARLOTTESVILLE, VA"
156,"500 12th St NW, Charlottesville, Virginia, 22903","500 12TH ST NW, CHARLOTTESVILLE, VA"
157,"1000 Belmont Ave, Charlottesville, Virginia, 22902","1000 BELMONT AVE, CHARLOTTESVILLE, VA"
160,"100 E Market St, Charlottesville, Virginia, 22902","100 E MARKET ST, CHARLOTTESVILLE, VA"
161,"1400 Baker St, Charlottesville, Virginia, 22903","1400 BAKER ST, CHARLOTTESVILLE, VA"
162,"1700 Monticello Rd, Charlottesville, Virginia, 22902","1700 MONTICELLO RD, CHARLOTTESVILLE, VA"
163,"100 Elliewood Ave, Charlottesville, Virginia, 22903","100 ELLIEWOOD AVE, CHARLOTTESVILLE, VA"
165,"1500 Grady Ave, Charlottesville, Virginia, 22903","1500 GRADY AVE, CHARLOTTESVILLE, VA"
167,"14th St NW, Charlottesville, Virginia, 22903","14TH ST NW, CHARLOTTESVILLE, VA"
168,"300 Hillsdale Dr, Charlottesville, Virginia, 22901","300 HILLSDALE DR, CHARLOTTESVILLE, VA"
169,"2400 Fontaine Ave, Charlottesville, Virginia, 22903","2400 FONTAINE AVE, CHARLOTTESVILLE, VA"
170,"1300 Nunley St, Charlottesville, Virginia, 22903","1300 NUNLEY ST, CHARLOTTESVILLE, VA"
171,"100 14Th Street Northwest, Charlottesville, Virginia, 22903","100 14TH STREET NORTHWEST, CHARLOTTESVILLE, VA"
172,"100 Monticello Ave, Charlottesville, Virginia, 22902","100 MONTICELLO AVE, CHARLOTTESVILLE, VA"
173,"600 Cherry Ave, Charlottesville, Virginia, 22903","600 CHERRY AVE, CHARLOTTESVILLE, VA"
174,"300 13th St NW, Charlottesville, Virginia, 22903","300 13TH ST NW, CHARLOTTESVILLE, VA"
176,"1400 Midland St, Charlottesville, Virginia, 22902","1400 MIDLAND ST, CHARLOTTESVILLE, VA"
177,"800 Rugby Rd, Charlottesville, Virginia, 22903","800 RUGBY RD, CHARLOTTESVILLE, VA"
178,"Millmont St & Barracks Rd, Charlottesville, Virginia, 22903","MILLMONT ST & BARRACKS RD, CHARLOTTESVILLE, VA"
179,"800 Walker Sq, Charlottesville, Virginia, 22903","800 WALKER SQ, CHARLOTTESVILLE, VA"
180,"400 10th St NW, Charlottesville, Virginia, 22903","400 10TH ST NW, CHARLOTTESVILLE, VA"
181,"Sunset Ave, Charlottesville, Virginia, 22903","SUNSET AVE, CHARLOTTESVILLE, VA"
182,"2200 Banbury St, Charlottesville, Virginia, 22901","2200 BANBURY ST, CHARLOTTESVILLE, VA"
183,"800 Forest St, Charlottesville, Virginia, 22903","800 FOREST ST, CHARLOTTESVILLE, VA"
184,"1300 W Main St, Charlottesville, Virginia, 22903","1300 W MAIN ST, CHARLOTTESVILLE, VA"
185,"900 1st St S, Charlottesville, Virginia, 22902","900 1ST ST S, CHARLOTTESVILLE, VA"
186,"Saint Clair Ave, Charlottesville, Virginia, 22901","SAINT CLAIR AVE, CHARLOTTESVILLE, VA"
187,"600 E Water St, Charlottesville, Virginia, 22902","600 E WATER ST, CHARLOTTESVILLE, VA"
188,"900 Bolling Ave, Charlottesville, Virginia, 22902","900 BOLLING AVE, CHARLOTTESVILLE, VA"
189,"100 Stewart Cir, Charlottesville, Virginia, 22903","100 STEWART CIR, CHARLOTTESVILLE, VA"
190,"1900 Ivy Rd, Charlottesville, Virginia, 22903","1900 IVY RD, CHARLOTTESVILLE, VA"
191,"400 10th St NE, Charlottesville, Virginia, 22902","400 10TH ST NE, CHARLOTTESVILLE, VA"
193,"500 Ridge Street, Charlottesville, Virginia, 22902","500 RIDGE STREET, CHARLOTTESVILLE, VA"
197,"900 West St, Charlottesville, Virginia, 22903","900 WEST ST, CHARLOTTESVILLE, VA"
198,"600 12th St NW, Charlottesville, Virginia, 22903","600 12TH ST NW, CHARLOTTESVILLE, VA"
199,"600 W Main St, Charlottesville, Virginia, 22903","600 W MAIN ST, CHARLOTTESVILLE, VA"
200,"12th St NW, Charlottesville, Virginia, 22903","12TH ST NW, CHARLOTTESVILLE, VA"
201,"900 Grady Ave, Charlottesville, Virginia, 22903","900 GRADY AVE, CHARLOTTESVILLE, VA"
203,"1200 John St, Charlottesville, Virginia, 22903","1200 JOHN ST, CHARLOTTESVILLE, VA"
205,"900 River Rd, Charlottesville, Virginia, 22901","900 RIVER RD, CHARLOTTESVILLE, VA"
206,"1800 Westview Rd, Charlottesville, Virginia, 22903","1800 WESTVIEW RD, CHARLOTTESVILLE, VA"
207,"800 W Main St, Charlottesville, Virginia, 22903","800 W MAIN ST, CHARLOTTESVILLE, VA"
208,"1000 Page St, Charlottesville, Virginia, 22903","1000 PAGE ST, CHARLOTTESVILLE, VA"
210,"700 Nalle St, Charlottesville, Virginia, 22903","700 NALLE ST, CHARLOTTESVILLE, VA"
212,"300 W Main St, Charlottesville, Virginia, 22903","300 W MAIN ST, CHARLOTTESVILLE, VA"
214,"Barracks Rd & Millmont St, Charlottesville, Virginia, 22903","BARRACKS RD & MILLMONT ST, CHARLOTTESVILLE, VA"
215,"1400 University Ave, Charlottesville, Virginia, 22903","1400 UNIVERSITY AVE, CHARLOTTESVILLE, VA"
216,"1500 Cherry Ave, Charlottesville, Virginia, 22903","1500 CHERRY AVE, CHARLOTTESVILLE, VA"
217,"6th St SE, Charlottesville, Virginia, 22902","6TH ST SE, CHARLOTTESVILLE, VA"
218,"Preston Ave & McIntire Rd, Charlottesville, Virginia, 22902","PRESTON AVE & MCINTIRE RD, CHARLOTTESVILLE, VA"
219,"1300 Long St, Charlottesville, Virginia, 22901","1300 LONG ST, CHARLOTTESVILLE, VA"
220,"1500 Dairy Rd, Charlottesville, Virginia, 22903","1500 DAIRY RD, CHARLOTTESVILLE, VA"
222,"1400 Long St, Charlottesville, Virginia, 22901","1400 LONG ST, CHARLOTTESVILLE, VA"
223,"1400 Grace St, Charlottesville, Virginia, 22902","1400 GRACE ST, CHARLOTTESVILLE, VA"
224,"2500 Jefferson Park Ave, Charlottesville, Virginia, 22903","2500 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
225,"300 4th St SE, Charlottesville, Virginia, 22902","300 4TH ST SE, CHARLOTTESVILLE, VA"
226,"2300 Price Ave, Charlottesville, Virginia, 22903","2300 PRICE AVE, CHARLOTTESVILLE, VA"
227,"400 Cherry Ave, Charlottesville, Virginia, 22903","400 CHERRY AVE, CHARLOTTESVILLE, VA"
228,"400 Rugby Rd, Charlottesville, Virginia, 22903","400 RUGBY RD, CHARLOTTESVILLE, VA"
229,"100 Copeley Rd, Charlottesville, Virginia, 22903","100 COPELEY RD, CHARLOTTESVILLE, VA"
230,"1100 King St, Charlottesville, Virginia, 22903","1100 KING ST, CHARLOTTESVILLE, VA"
232,"900 Emmet St N, Charlottesville, Virginia, 22903","900 EMMET ST N, CHARLOTTESVILLE, VA"
